,joint_str,wrkt_str,target,output
7798,Research verint proposal Proposal,Setting up event logging for Myca,Myca,-1
7799,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency,Setting up event logging for Myca,Myca,-1
7800,Research Bi/PolyEncoder,Setting up event logging for Myca,Myca,-1
7801,Research Accuracy Efficiency slide deck,Setting up event logging for Myca,Myca,-1
7802,Research Pathway to Open Source Grant notes text pass,Setting up event logging for Myca,Myca,-1
7803,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan AVTN arxiv work AVTN arxiv/resubmit plan Hitachi meeting notes,Setting up event logging for Myca,Myca,-1
7804,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",Setting up event logging for Myca,Myca,-1
7805,Research Community Exposure,Setting up event logging for Myca,Myca,-1
7806,Research cisco notes,Setting up event logging for Myca,Myca,-1
7807,Research EAR NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco AVTN arxiv look at NSF small and think about how we get more data for a resubmit Send follow up emails to Scott to schedule meetings NS Swarm Sync Jaseci ASPLOS sync AVTN/ZSOBJ Sync Biencoder Sync Send follow up emails to people met at ISCA send emails to Zixiong ask Nvidia for jetson devices,Setting up event logging for Myca,Myca,-1
7808,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,Setting up event logging for Myca,Myca,-1
7809,Green Card check i485 next steps,Setting up event logging for Myca,Myca,-1
7810,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton,Setting up event logging for Myca,Myca,-1
7811,Myca Commands LL weekly Myca Dev Myca Working Diary Myca Q1 Goals Notes,Setting up event logging for Myca,Myca,1
7812,Jaseci open source,carry day forward refactor,Myca,-1
7813,Jaseci HLP Dev notes,carry day forward refactor,Myca,-1
7814,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP Notes Core AI Daily Syncup Client Work Daily Syncup,carry day forward refactor,Myca,-1
7815,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,carry day forward refactor,Myca,-1
7816,ME Get in shape 💤 Prioritize Sleep🛏️  ⚡ Fast1️⃣  🥩 Keto🍗  🏋️‍♂️ Lift 💪  🚲 Zone 2🏃‍♂️ ,carry day forward refactor,Myca,-1
7817,ME Relationship facetime with parents special dinner with JaLi,carry day forward refactor,Myca,-1
7818,ME Health Health check Schedule check up with Primary Doctor Call optic center about black specs in the sunglasses setup waterpik Schedule annual  physical Switch PCP,carry day forward refactor,Myca,-1
7819,ME Social,carry day forward refactor,Myca,-1
7820,ME Expand Hobbies learn keyboard for 30 min,carry day forward refactor,Myca,-1
7821,ME Puppy Search Find two more breeders options,carry day forward refactor,Myca,-1
7822,ME Get in shape Relationship Health Social Expand Hobbies Puppy Search,carry day forward refactor,Myca,-1
7823,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell,carry day forward refactor,Myca,-1
7824,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,carry day forward refactor,Myca,-1
7825,Research NS2.0 notes,carry day forward refactor,Myca,-1
7826,Research ASPLOS/CAL notes aws cluster access,carry day forward refactor,Myca,-1
7827,Research GAN-GPT read GPT read Electra,carry day forward refactor,Myca,-1
7828,Research Reading MLsys seminar,carry day forward refactor,Myca,-1
7829,Research verint proposal Proposal,carry day forward refactor,Myca,-1
7830,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency,carry day forward refactor,Myca,-1
7831,Research Bi/PolyEncoder,carry day forward refactor,Myca,-1
7832,Research Accuracy Efficiency slide deck,carry day forward refactor,Myca,-1
7833,Research Pathway to Open Source Grant notes text pass,carry day forward refactor,Myca,-1
7834,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan AVTN arxiv work AVTN arxiv/resubmit plan Hitachi meeting notes,carry day forward refactor,Myca,-1
7835,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",carry day forward refactor,Myca,-1
7836,Research Community Exposure,carry day forward refactor,Myca,-1
7837,Research cisco notes,carry day forward refactor,Myca,-1
7838,Research EAR NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco AVTN arxiv look at NSF small and think about how we get more data for a resubmit Send follow up emails to Scott to schedule meetings NS Swarm Sync Jaseci ASPLOS sync AVTN/ZSOBJ Sync Biencoder Sync Send follow up emails to people met at ISCA send emails to Zixiong ask Nvidia for jetson devices,carry day forward refactor,Myca,-1
7839,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,carry day forward refactor,Myca,-1
7840,Green Card check i485 next steps,carry day forward refactor,Myca,-1
7841,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton,carry day forward refactor,Myca,-1
7842,Myca Commands LL weekly Myca Dev Myca Working Diary Myca Q1 Goals Notes Setting up event logging for Myca,carry day forward refactor,Myca,1
7843,Jaseci open source,Plan for the day,,-1
7844,Jaseci HLP Dev notes,Plan for the day,,-1
7845,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP Notes Core AI Daily Syncup Client Work Daily Syncup,Plan for the day,,-1
7846,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Plan for the day,,-1
7847,ME Get in shape 💤 Prioritize Sleep🛏️  ⚡ Fast1️⃣  🥩 Keto🍗  🏋️‍♂️ Lift 💪  🚲 Zone 2🏃‍♂️ ,Plan for the day,,-1
7848,ME Relationship facetime with parents special dinner with JaLi,Plan for the day,,-1
7849,ME Health Health check Schedule check up with Primary Doctor Call optic center about black specs in the sunglasses setup waterpik Schedule annual  physical Switch PCP,Plan for the day,,-1
7850,ME Social,Plan for the day,,-1
7851,ME Expand Hobbies learn keyboard for 30 min,Plan for the day,,-1
7852,ME Puppy Search Find two more breeders options,Plan for the day,,-1
7853,ME Get in shape Relationship Health Social Expand Hobbies Puppy Search,Plan for the day,,-1
7854,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell,Plan for the day,,-1
7855,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,Plan for the day,,-1
7856,Research NS2.0 notes,Plan for the day,,-1
7857,Research ASPLOS/CAL notes aws cluster access,Plan for the day,,-1
7858,Research GAN-GPT read GPT read Electra,Plan for the day,,-1
7859,Research Reading MLsys seminar,Plan for the day,,-1
7860,Research verint proposal Proposal,Plan for the day,,-1
7861,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency,Plan for the day,,-1
7862,Research Bi/PolyEncoder,Plan for the day,,-1
7863,Research Accuracy Efficiency slide deck,Plan for the day,,-1
7864,Research Pathway to Open Source Grant notes text pass,Plan for the day,,-1
7865,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan AVTN arxiv work AVTN arxiv/resubmit plan Hitachi meeting notes,Plan for the day,,-1
7866,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",Plan for the day,,-1
7867,Research Community Exposure,Plan for the day,,-1
7868,Research cisco notes,Plan for the day,,-1
7869,Research EAR NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco AVTN arxiv look at NSF small and think about how we get more data for a resubmit Send follow up emails to Scott to schedule meetings NS Swarm Sync Jaseci ASPLOS sync AVTN/ZSOBJ Sync Biencoder Sync Send follow up emails to people met at ISCA send emails to Zixiong ask Nvidia for jetson devices,Plan for the day,,-1
7870,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,Plan for the day,,-1
7871,Green Card check i485 next steps,Plan for the day,,-1
7872,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton,Plan for the day,,-1
7873,Myca Commands LL weekly Myca Dev Myca Working Diary Myca Q1 Goals Notes Setting up event logging for Myca carry day forward refactor,Plan for the day,,-1
7874,Read & Watch,convRT,Read & Watch,1
7875,Read & Watch convRT,Unified QA,Read & Watch,1
7876,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,Plan for the week,,-1
7877,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,LL weekly,Myca,-1
7878,Myca Commands,LL weekly,Myca,1
7879,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,Myca standup,Myca Product,-1
7880,Myca Myca Product,Myca standup,Myca Product,1
7881,Myca Commands LL weekly Myca Product,Myca standup,Myca Product,-1
7882,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,myca backlog grooming,Myca Product,-1
7883,Myca Myca Product Myca standup,myca backlog grooming,Myca Product,1
7884,Myca Commands LL weekly Myca Product,myca backlog grooming,Myca Product,-1
7885,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,prepare for LL weekly,Myca Product,-1
7886,Myca Myca Product Myca standup myca backlog grooming,prepare for LL weekly,Myca Product,1
7887,Myca Commands LL weekly Myca Product,prepare for LL weekly,Myca Product,-1
7888,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,Test and push webapp updates,Myca Dev,-1
7889,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,Test and push webapp updates,Myca Dev,-1
7890,Myca Myca Dev,Test and push webapp updates,Myca Dev,1
7891,Myca Commands LL weekly Myca Product Myca Dev,Test and push webapp updates,Myca Dev,-1
7892,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,set up wiki,Myca Dev,-1
7893,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,set up wiki,Myca Dev,-1
7894,Myca Myca Dev Test and push webapp updates,set up wiki,Myca Dev,1
7895,Myca Commands LL weekly Myca Product Myca Dev,set up wiki,Myca Dev,-1
7896,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,finish focus recommendation walker,Myca Dev,-1
7897,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,finish focus recommendation walker,Myca Dev,-1
7898,Myca Myca Dev Test and push webapp updates set up wiki,finish focus recommendation walker,Myca Dev,1
7899,Myca Commands LL weekly Myca Product Myca Dev,finish focus recommendation walker,Myca Dev,-1
7900,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,latency investigation,Myca Dev,-1
7901,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,latency investigation,Myca Dev,-1
7902,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker,latency investigation,Myca Dev,1
7903,Myca Commands LL weekly Myca Product Myca Dev,latency investigation,Myca Dev,-1
7904,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,myca graph redesign,Myca Dev,-1
7905,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,myca graph redesign,Myca Dev,-1
7906,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation,myca graph redesign,Myca Dev,1
7907,Myca Commands LL weekly Myca Product Myca Dev,myca graph redesign,Myca Dev,-1
7908,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,weekly meeting with v75,Jaseci,-1
7909,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,weekly meeting with v75,Jaseci,-1
7910,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,weekly meeting with v75,Jaseci,-1
7911,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,weekly meeting with v75,Jaseci,-1
7912,Jaseci,weekly meeting with v75,Jaseci,1
7913,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,audit jaseci docs,Jaseci,-1
7914,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,audit jaseci docs,Jaseci,-1
7915,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,audit jaseci docs,Jaseci,-1
7916,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,audit jaseci docs,Jaseci,-1
7917,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan,audit jaseci docs,Jaseci,1
7918,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,ask about HOA fee breakdown,Financial,-1
7919,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,ask about HOA fee breakdown,Financial,-1
7920,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,ask about HOA fee breakdown,Financial,-1
7921,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,ask about HOA fee breakdown,Financial,-1
7922,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,ask about HOA fee breakdown,Financial,-1
7923,Financial,ask about HOA fee breakdown,Financial,1
7924,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,retirement account portfolio,Financial,-1
7925,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,retirement account portfolio,Financial,-1
7926,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,retirement account portfolio,Financial,-1
7927,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,retirement account portfolio,Financial,-1
7928,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,retirement account portfolio,Financial,-1
7929,Financial ask about HOA fee breakdown,retirement account portfolio,Financial,1
7930,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,figure out credit score situation,Financial,-1
7931,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,figure out credit score situation,Financial,-1
7932,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,figure out credit score situation,Financial,-1
7933,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,figure out credit score situation,Financial,-1
7934,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,figure out credit score situation,Financial,-1
7935,Financial ask about HOA fee breakdown retirement account portfolio,figure out credit score situation,Financial,1
7936,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,figure out retirement account transfer details,Financial,-1
7937,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,figure out retirement account transfer details,Financial,-1
7938,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,figure out retirement account transfer details,Financial,-1
7939,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,figure out retirement account transfer details,Financial,-1
7940,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,figure out retirement account transfer details,Financial,-1
7941,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation,figure out retirement account transfer details,Financial,1
7942,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,start doing monthly budgeting,Financial,-1
7943,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,start doing monthly budgeting,Financial,-1
7944,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,start doing monthly budgeting,Financial,-1
7945,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,start doing monthly budgeting,Financial,-1
7946,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,start doing monthly budgeting,Financial,-1
7947,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details,start doing monthly budgeting,Financial,1
7948,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,old bank account,Financial,-1
7949,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,old bank account,Financial,-1
7950,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,old bank account,Financial,-1
7951,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,old bank account,Financial,-1
7952,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,old bank account,Financial,-1
7953,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting,old bank account,Financial,1
7954,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,weight,Get in shape,-1
7955,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,weight,Get in shape,-1
7956,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,weight,Get in shape,-1
7957,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,weight,Get in shape,-1
7958,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,weight,Get in shape,-1
7959,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,weight,Get in shape,-1
7960,ME Get in shape,weight,Get in shape,1
7961,ME Get in shape,weight,Get in shape,-1
7962,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,Carnivore OMD,Get in shape,-1
7963,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,Carnivore OMD,Get in shape,-1
7964,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,Carnivore OMD,Get in shape,-1
7965,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,Carnivore OMD,Get in shape,-1
7966,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,Carnivore OMD,Get in shape,-1
7967,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,Carnivore OMD,Get in shape,-1
7968,ME Get in shape weight,Carnivore OMD,Get in shape,1
7969,ME Get in shape,Carnivore OMD,Get in shape,-1
7970,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,workout,Get in shape,-1
7971,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,workout,Get in shape,-1
7972,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,workout,Get in shape,-1
7973,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,workout,Get in shape,-1
7974,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,workout,Get in shape,-1
7975,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,workout,Get in shape,-1
7976,ME Get in shape weight Carnivore OMD,workout,Get in shape,1
7977,ME Get in shape,workout,Get in shape,-1
7978,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,facetime with parents,Relationship,-1
7979,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,facetime with parents,Relationship,-1
7980,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,facetime with parents,Relationship,-1
7981,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,facetime with parents,Relationship,-1
7982,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,facetime with parents,Relationship,-1
7983,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,facetime with parents,Relationship,-1
7984,ME Get in shape weight Carnivore OMD workout,facetime with parents,Relationship,-1
7985,ME Relationship,facetime with parents,Relationship,1
7986,ME Get in shape Relationship,facetime with parents,Relationship,-1
7987,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,catch up with old friends,Relationship,-1
7988,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,catch up with old friends,Relationship,-1
7989,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,catch up with old friends,Relationship,-1
7990,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,catch up with old friends,Relationship,-1
7991,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,catch up with old friends,Relationship,-1
7992,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,catch up with old friends,Relationship,-1
7993,ME Get in shape weight Carnivore OMD workout,catch up with old friends,Relationship,-1
7994,ME Relationship facetime with parents,catch up with old friends,Relationship,1
7995,ME Get in shape Relationship,catch up with old friends,Relationship,-1
7996,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,call back about laser surgery,ME,-1
7997,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,call back about laser surgery,ME,-1
7998,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,call back about laser surgery,ME,-1
7999,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,call back about laser surgery,ME,-1
8000,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,call back about laser surgery,ME,-1
8001,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,call back about laser surgery,ME,-1
8002,ME Get in shape weight Carnivore OMD workout,call back about laser surgery,ME,-1
8003,ME Relationship facetime with parents catch up with old friends,call back about laser surgery,ME,-1
8004,ME Health,call back about laser surgery,ME,-1
8005,ME Get in shape Relationship Health,call back about laser surgery,ME,1
8006,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,learn keyboard for 30 min,ME,-1
8007,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,learn keyboard for 30 min,ME,-1
8008,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,learn keyboard for 30 min,ME,-1
8009,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,learn keyboard for 30 min,ME,-1
8010,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,learn keyboard for 30 min,ME,-1
8011,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,learn keyboard for 30 min,ME,-1
8012,ME Get in shape weight Carnivore OMD workout,learn keyboard for 30 min,ME,-1
8013,ME Relationship facetime with parents catch up with old friends,learn keyboard for 30 min,ME,-1
8014,ME Health,learn keyboard for 30 min,ME,-1
8015,ME Get in shape Relationship Health call back about laser surgery,learn keyboard for 30 min,ME,1
8016,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,find interests group to join,ME,-1
8017,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,find interests group to join,ME,-1
8018,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,find interests group to join,ME,-1
8019,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,find interests group to join,ME,-1
8020,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,find interests group to join,ME,-1
8021,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,find interests group to join,ME,-1
8022,ME Get in shape weight Carnivore OMD workout,find interests group to join,ME,-1
8023,ME Relationship facetime with parents catch up with old friends,find interests group to join,ME,-1
8024,ME Health,find interests group to join,ME,-1
8025,ME Get in shape Relationship Health call back about laser surgery learn keyboard for 30 min,find interests group to join,ME,1
8026,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,organize basement,House,-1
8027,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,organize basement,House,-1
8028,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,organize basement,House,-1
8029,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,organize basement,House,-1
8030,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,organize basement,House,-1
8031,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,organize basement,House,-1
8032,ME Get in shape weight Carnivore OMD workout,organize basement,House,-1
8033,ME Relationship facetime with parents catch up with old friends,organize basement,House,-1
8034,ME Health,organize basement,House,-1
8035,ME Get in shape Relationship Health call back about laser surgery learn keyboard for 30 min find interests group to join,organize basement,House,-1
8036,Read & Watch convRT Unified QA NMS GDC Procedural NMS GDC Sean Murray ICLR 2021 Summary,bring trash cart back in,Chores,-1
8037,Myca Myca Product Myca standup myca backlog grooming prepare for LL weekly,bring trash cart back in,Chores,-1
8038,Myca Myca Dev Test and push webapp updates set up wiki finish focus recommendation walker latency investigation myca graph redesign,bring trash cart back in,Chores,-1
8039,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary,bring trash cart back in,Chores,-1
8040,Jaseci weekly meeting with v75 Neural architecture search  commands and resource v75 progress Jaseci Master Plan audit jaseci docs,bring trash cart back in,Chores,-1
8041,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,bring trash cart back in,Chores,-1
8042,ME Get in shape weight Carnivore OMD workout,bring trash cart back in,Chores,-1
8043,ME Relationship facetime with parents catch up with old friends,bring trash cart back in,Chores,-1
8044,ME Health,bring trash cart back in,Chores,-1
8045,ME Get in shape Relationship Health call back about laser surgery learn keyboard for 30 min find interests group to join,bring trash cart back in,Chores,-1
8046,Chores,bring trash cart back in,Chores,1
